step pe pxx pyy pzz pxy pxz pyz
172 -931.30025768472592063 5009.2735947663813931 32531.285719203951885 17718.34392960214609 -23524.365289857345488 16508.574710908538691 -1690.3733363766523325
173 -932.59287520941938965 -16165.409657577378312 -14024.473495214590002 8859.6163850596949487 -3801.3982278252342439 -3606.0311446785017324 21842.344626360489201
174 -931.19197479439003473 -10880.865011495006911 2993.9926394435665316 6083.4805483907912276 -16201.197758905527735 -16137.885548941554589 14872.375320158043905
175 -930.77308839965564857 -21653.387462626840716 -6052.0191116390424213 14398.717767248408563 -18053.997519157121133 -199.96977407458032872 -13572.937827222904161
176 -930.6925274740566465 -23625.680738931911037 -5554.5572169376009697 14934.517084413273551 -10259.488085992903507 11184.355303114562048 -7031.9028526927249914
177 -922.21051532470539769 35435.595570743265853 39601.376230318317539 24329.106694707425049 -6480.9135224193014437 64.686716023134252396 -19780.197742789790937
178 -927.42915205263363987 11152.842886720975002 -22159.704536989913322 17930.37090838163931 10652.78705762991558 -17165.429360323370929 4595.8942348411819694
179 -930.49589314260049377 29049.278785454589524 4431.0110877799643276 11820.648278397236936 -9047.3549844303452119 -1091.1348323339529998 -9261.6774726218664
180 -922.72599994764073017 39457.6248161751937 -10070.112401435302672 8762.3754492511216085 -22627.894354632931936 -27553.334164872205292 21022.331390931627539
181 -924.41540296032474089 37316.385559878021013 20384.552855648169498 44857.997525546234101 -3508.1554114265518365 4193.8666663590183816 -3166.4001563001074828
182 -926.14435156348963574 7145.8498651934787631 11077.996699031788012 34662.893375581297732 1164.6479531713882807 18045.678427488812304 1656.0020740600809859
183 -930.13824067177438337 -2637.5857240144841853 -49665.499346405878896 -14879.55047341646241 -6800.0279471076491973 35643.641084959504951 6747.4592910125811613
184 -924.1720547739456606 -1307.6956019490401104 -7618.9166613930156018 11542.995073745480113 -5076.4542411425654791 3821.4131720847826728 6130.0028650535696215
185 -929.03568132028306081 1855.8505751575889917 -43048.796112982134218 -15804.2720111787512 -2097.3426640106295054 26934.292532257091807 8541.5256516045847093
186 -925.86347517388890083 1659.6502557951182553 12946.935970440736128 22128.8577121193739 -6074.4512356824943708 11055.209866684897861 -13510.897634749346253
187 -923.40207307893706457 23798.332738592336682 33002.614080885075964 66959.24908964720089 -10840.221627920280298 997.60706503391190836 -41006.942062208363495
188 -921.34362147212561922 9636.691504818822068 21370.484645876877039 38640.008243664946349 15664.925151658755567 -1217.6438402793737623 10867.321963407293879
189 -929.09784289709841687 -5302.4280771815610933 -12342.861144984964994 31950.33429600321324 -191.78042723113642865 -6986.5962337500241119 -10791.144235549370933
190 -926.36654412752977805 25737.543659795992426 17778.006997537580901 28256.662789419224282 -12883.340405037768505 -7613.1487287316886068 3983.0383662490471579
191 -915.15944386687783663 -13276.308112657392485 35951.610713029956969 16333.672967206370231 6696.6047314989446022 -15119.125235917199461 1190.6495132887441741
192 -934.41192995640790286 -31925.530447289456788 -27094.333444873351255 -52027.523873440113675 -4664.3872983212859253 -20286.770029461011291 -15020.887617032927665
193 -914.80866546696233854 -10723.657059178935015 38635.530199176275346 20525.710228271669621 4086.1814147580853387 -15468.677933977793145 5130.5140865805942667
194 -921.07921159152806467 17577.600653168952704 49348.386297192926577 20945.415499175243895 2913.4161509030154775 -23224.119944435009529 -7976.8343232987945157
195 -929.52229681802805317 35013.121849857197958 -8060.4189275615153747 -15972.33035486141307 -25196.77097215748654 541.04871747455752029 -19465.796799464533251
